name,No,Company.Name,Month,Description,Founded,Lead.Investor,Deal.Size,Prior.Raise,Reason,Interesting,uuid,,,,
evariant,97,Evariant,42521,"Provider of SaaS-based Customer Relationship Management (CRM) or Partner Relationship Management (PRM) and marketing automation software. The company helps hospitals and health care systems accelerate provider referral and patient volume growth across service lines through the use of a combination of CRM, marketing automation, data integration services and analytics, collectively referred by the company as Volume Performance Management.",2008,The Goldman Sachs Group (Jason Kreuziger),42.34,26.229091,NA,1,33e9fd2c-ce13-1ffa-fb3a-965eed6586f7,,,,30/05/2016
everfi,169,EverFi,42582,"Provider of a education technology for students. The company enables K-12, higher education and adult learners with the skills needed to be successful in life and work through its comprehensive critical skills platform focused on Financial Education, Digital Citizenship, STEM Career Readiness, Diversity and Inclusion, Entrepreneurship, Character Education, and Health and Wellness.",2008,"Bezos Expeditions (Jeffrey Bezos), New Enterprise Associates (Tony Florence), Rethink Education (Michael Walden), TomorrowVentures (Eric Schmidt)",40,21.632626,Business Model,0,27610421-e631-455e-a87c-31893dca9638,,,,30/07/2016
everquote,182,EverQuote,42674,"Provider of a comparison-shopping site for auto insurance. The company offers a quantitative marketing platform that connects insurance providers, regional agencies and broker networks with the potential buyer of auto insurance products in exchange of a referral fee.",2010,,23,1.27,Business Model,0,14829078-9288-a615-fbc4-c3f287486196,,,,30/10/2016
eversight,275,Eversight,42766,"Provider of digital testing platform designed to offer expertise in promotions, in-store and online retail pricing. The company's digital testing platform uses predictive analytics, data science, machine learning and multi-tenant cloud architecture to bring digital A/B testing capabilities, enabling leading consumer goods brands and retailers to dramatically improve promotion effectiveness and make more efficient use of trade funds.",2012,Sutter Hill Ventures (James White),15.5,9.69,NA,1,af42d8e9-1118-f422-f243-30f3c6b00b13,,,,30/01/2017
evidentio,250,Evident.IO,42794,"Provider of cloud infrastructure security and compliance automation designed to proactively manage public cloud security risk. The company's Evident Security Platform (EPS) continuously monitors and identifies security misconfigurations for Amazon Web Services (AWS) by identifying and assessing security risks, providing security staff with expert remediation guidance and enabling security auditing and compliance reporting.",2013,GV (Tyson Clark),22,27.1,Previous Investors,0,b6b41e07-3750-b1c6-3915-b45dd6e8f1a7,,,,27/02/2017
evivehealth,455,Evive Health ,43131,Developer of Health Communications tools. The company offers health and wellness engagement tools which includes a portal for checking opportunities for health and savings as well as health reminders using analytics and behavioral science.,2007,Susquehanna Growth Equity,43,0,NA,1,5ccff5bb-bd0d-41ae-92f9-2ab2bebf93ad,,,,30/01/2018
evrythng,294,Evrythng,42825,"Provider of a software platfrom for creating profiles of physical objects on Web. The company's platform enables users to create profiles for connected products, channels for personalized digital services and manage real-time data to drive applications.",2011,Accelerate-IT Ventures (Brian Nugent),24.8,17.5,NA,1,3eb7e1b1-cf2b-deba-1515-1012c1117ad2,,,,30/03/2017
examity,67,Examity,42825,"Developer of a proctoring platform designed for educational institutions. The company's proctoring platform integrates live, recorded feed through webcam monitoring and bio-metric identification, enabling educational institutions to authenticate test-takers.",2013,University Ventures,21,1,Early / Small,0,ec920ffd-cf22-d778-34e1-d38ee0b8ba3f,,,,30/03/2017
fairwarning,543,FairWarning,43281,"Developer of software intended to address security challenges. The company's cloud application security services provide data protection and governance for core applications, including electronic health records (EHRs), salesforce, office 365, protecting organizations of all sizes and around the world against data theft and misuse.",2005,Mainsail Partners(Michael Anderson),60,0,NA,1,6e46989d-78a8-0e6b-c785-a5b0b30a8db3,,,,29/06/2018
farmersbusinessnetwork,36,Farmers Business Network,42613,Developer of a decision-support system for farmers. The company offers an analytics and management platform designed to collect and analyze farm data to enable informed decision making.,2014,Acre Venture Partners (Gareth Asten),20,24.3,Early / Small,0,29d9af64-a4d9-b783-546a-34a6eedf0982,,,,30/08/2016
farmlogs,60,FarmLogs,42766,"Developer of a digital farm management platform. The company's platform enables farmers to forecast and measure farm profits, track expenses and manage risk. It also enables farmers to detect yield threats and access field-specific data including rainfall tracking, soil composition maps and yield maps.",2011,Naspers Ventures (Mike Katz),22,21,Early / Small,0,fca3cd10-2d4b-4e8a-82d1-a212aa2e2061,,,,30/01/2017
favor,391,Favor,43008,"Developer of a mobile based food delivery application designed to deliver restaurant based food. The company's food delivery service is a a location-based mobile application and website portal, enabling users to order food and groceries from stores and restaurants in the local area and delivers through courier at their door.",2011,S3 Ventures (Brian Smith),22,16.9,NA,1,1ee72ff8-102f-fe07-a823-73ccece54f09,,,,29/09/2017
featurespace,413,Featurespace,43039,"Developer of adaptive behavioral analytics technology designed to bring new insights through new ways of treating data. The company's adaptive behavioral analytics engine, the ARIC platform, monitors all customer data in real-time, spotting anomalies to block new fraud attacks as they occur and recognizes genuine customers without blocking their activity, enabling organizations to get reduced fraud costs, happier customers and increased revenue.",2005,Highland Capital Partners Europe (Laurence Garrett),21.4,17.98,NA,1,303929f9-f8cc-be72-089b-50ebbe530648,,,,30/10/2017
figma,263,Figma,43131,"Provider of an interface design tool designed to create digital products. The company's interface design tool helps in versioning and maintaining different digital assets, enabling clients to collaborate on web and application-based interface design projects entirely in the browser.",2008,Kleiner Perkins Caufield Byers,25,17.874903,Previous Investors,0,fecdc239-2d5b-8552-fb0e-a6a874e95678,,,,30/01/2018
finalcad,177,Finalcad,42643,"Developer of construction and site management software. The company provides a mobile application that allows architects, contractors and subcontractors to collaborate every step for construction projects.",2007,"Aster Capital Partners (Jean-Marc Bally), CapHorn Invest (Laurent Dumas-Crouzillac), Serena Capital (Nicolas Louvet)",20,2.86,NA,1,7214ed15-0cd3-8dd5-58a3-6b23bc5c5d8d,,,,29/09/2016
finanzcheckde,149,Finanzcheck.de,42490,Provider of consumer loan technology platform. The company offers an online B2C marketplace where German consumers can compare loan bank products in real-time as well as B2B2C white label and B2B consumer financing technology services for brokers and banks.,2010,HarbourVest Partners (Peter Lipson),37.41,15.04019417,Business Model,0,672bff59-d63d-a4a5-58d6-b0dc4d0de2cc,,,,29/04/2016
finicity,188,Finicity,42735,"Provider of a real-time financial data aggregation and insight platform. The company provides a cloud-based financial platform to provide solutions for financial management, payments and credit decision-making.",1999,Experian,42,0,Business Model,0,1ee9b1c3-fbc6-7a54-4c70-a4f8b9d11b1d,,,,30/12/2016
fintonic,76,Fintonic,42916,"Developer of a mobile financial management platform designed to make personal finances available to all the public. The company's mobile financial management platform is verified and validated by experts in digital security and privacy and offers advanced access point for its users to enter all of their accounts as well as financial information to guide them through the analysis of millions of financial data points with relevant financial products, enabling users to anonymously and securely make financial and banking transactions with the application.",2011,"ING Group, PSN",27.61,1.54,Early / Small,0,df0d9897-4cc0-b52c-355e-a43943a746a4,,,,29/06/2017
fireglass,5,Fireglass,42400,Provider of cyber security services for organizations. The company develops a client-less service which isolates browsers from web content by executing all content originating from the web in a secure environment and streaming only a visual feed to the browser without impacting user experience.,2014,,20,0,Early / Small,0,9d45c7a1-f417-9a11-16fd-3ff7bfde7075,,,,30/01/2016
flexport,176,Flexport,42643,Operator of a licensed customs brokerage and freight forwarding service. The company provides freight forwarding services and software that arranges goods to be transported and subsequently tracks the inventory in real-time in order to optimize transportation routes and inventory management.,2013,,65,26.9,NA,1,283fed71-eb41-8a76-bf46-06787c3981e5,,,,29/09/2016
flipp,76,Flipp,42490,"Provider of mobile application-based consumer marketplace. The company offers an online platform that aggregates digital circulars from retailers and stores, enabling users to plan weekly shopping and seek out appropriate local deals.",2007,General Atlantic (Zachary Kaplan),61,17.5,NA,1,223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,,,,29/04/2016
floqast,351,FloQast,42916,"Developer of a cloud-based close management software designed to address the inefficiencies and repetitive processes common to the month-end close. The company's close management software is a single platform to manage the month-end close and gives everyone visibility, enabling accountants to organize and automate processes.",2013,Insight Venture Partners (Harley Miller),25,7.85,NA,1,a77f295e-43d6-95e3-48af-d06fa32ac4d7,,,,29/06/2017
flosports,172,FloSports,42613,Operator of a sports media and events company. The company provides an interactive media platform that enables athletes and fans to connect within different sports communities.,2006,"Bertelsmann Digital Media Investments (Keith Titan), DCM Ventures (Jason Krikorian)",21.2,10.999998,Business Model,0,31270514-fb60-b124-a94b-f222c9a00376,,,,30/08/2016
foghorn,88,FogHorn,43039,"Developer of an edge intelligence software designed to deliver the power of real time industrial grade analytics to resource constrained edge devices. The company's Lightning software platform brings the power of advanced analytics and machine learning to the on-premises edge environment providing OEMs, systems integrators and end customers a new class of applications for advanced monitoring and diagnostics, machine performance optimization, proactive maintenance and operational intelligence use cases.",2014,"Intel Capital, Saudi Aramco Energy Ventures (Cory Steffek)",30,17.85,Early / Small,0,bf43b49d-ec45-94ca-355b-07f3013f08c8,,,,30/10/2017
forensiclogic,419,Forensic Logic,43039,"Provider of law enforcement and criminal offender data to local, state and federal government workers and private sector organizations. The company's national-scale search engine and information network developed in partnership between the technology community and local, state and federal law enforcement, enabling the law enforcement bodies to have unparalleled access to criminal data through a range of intuitive search and analysis tools.",2003,Mainsail Partners (C. Jason Payne),20,2.01,NA,1,8b51355b-fdf1-15e3-d59b-6da878519246,,,,30/10/2017
forter,18,Forter,42490,Provider of an online fraud prevention platform. The company provides a software to reduce frauds during transaction. It also provides plug and play technology which allows approve and decline answer for every transaction by yes and no.,2013,Scale Venture Partners (Rory O'Driscoll),32,18,Early / Small,0,5f42acbb-cf04-6a86-ab06-a4dfa9910894,,,,29/04/2016
fourkites,483,FourKites,43159,"Provider of a predictive supply chain platform created to track shipment location, temperature and proactively manage exceptions. The company's predictive supply chain platform provides real-time, supply-chain visibility across transportation modes and digital platforms to predict when shipments will arrive at scheduled stops, monitor load temperatures and analyze enterprise supply chain data, processes more actionable supply chain data every day than any other predictive shipment tracking platform in the world from trucks and trailers to cargo ships, enabling customers to lower their operating costs, improve on-time performance and strengthen their end-customer relationships.",2013,August Capital (Eric Carlborg),35,15.730006,NA,1,587e4c56-d684-fb5a-ccfd-0fe2c070c916,,,,27/02/2018
freshly,131,Freshly,42582,"Provider of ready to eat home delivered meals. The company sells online ready to eat meals free of preservatives, additives, sweeteners, gluten and soy.",2012,Insight Venture Partners (Harley Miller),21,8.552824,NA,1,72ae3c89-193a-84d3-f079-7765934fab03,,,,30/07/2016
frontiercargroup,519,Frontier Car Group,43190,"Operator of a used car marketplace. The company's platform provides seller with an online quote, the car is then inspected and purchased and through a dealer network, it is auctioned on the digital bidding platform.",2016,"Balderton Capital (Daniel Waterhouse), TPG Growth",58,22,NA,1,16c57ecd-8420-0a17-ec79-aebcd1838274,,,,30/03/2018
fugue,1,Fugue,42400,Developer of infrastructure-level operating system software for cloud computing. The company's platform offers security and infrastructure system services to help in cloud computing.,2012,New Enterprise Associates (Harry Weller),20,15.011462,Early / Small,0,ac4ba9ec-e507-03f6-e26e-a30a410bd909,,,,30/01/2016
fullcontact,37,FullContact,42613,"Developer of a contact management software for professionals and enterprises. The company provides a smart, cloud-based address book for users to stay fully connected with contacts.",2010,Foundry Group (Bradley Feld),25,23.55000243,Early / Small,0,5a93a9ff-6d62-66e8-f9b4-589be56b50d4,,,,30/08/2016
fundthrough,185,FundThrough,42674,Provider of an invoice funding platform for small and fast-growing companies. The company provides an on-demand business financing tool and offers operating lines of credit to finance the growth of business. It gives business owners the ability to get immediate access to the cash that is tied up in their outstanding invoices.,2014,ScaleUP Venture Partners (Kent Thexton),24.6,6.6,NA,1,6876a019-5f30-aaa7-953f-53681b2528ed,,,,30/10/2016
fuseuniversal,229,Fuse Universal,43251,"Developer of a learning management system for the workplace. The company's platform allows enterprises to create, curate and share relevant internal and external content among employees to facilitate seamless learning, knowledge sharing and communication and combines online and offline learning and can serve as a standalone learning management system (""LMS"") or integrate with existing LMS providers, enabling enterprises improve employee engagement, learning and communication.",2008,Eight Roads Ventures (Michael Treskow),20,10,Business Model,0,c98eaf0f-54a6-e03b-08b8-a6cc501ab0fc,,,,30/05/2018
fusionriskmanagement,348,Fusion Risk Management,42916,Provider of risk management and contingency planning services. The company offers computer based software services which helps enterprises organize and measure risk in order to mitigate and manage it on an ongoing basis with their available resources.,2006,Catalyst Investors (Ryan McNally),41,10,NA,1,bdc46fa3-976a-c5db-e7ce-a56852511726,,,,29/06/2017
g2crowd,336,G2 Crowd,42886,"Provider of a business software review platform intended to help the insights business professionals about technology purchase decisions. The company's business software review platform shares reviews about purchase decisions and help anyone, from end-users to CIOs in businesses of all sizes, compare and select the software, enabling technology buyers to compare business software in real time and select products based on peer reviews and social data.",2011,Accel (Arun Mathew),30,16.27,NA,1,5df0ad11-050e-b10c-11d8-b73e28df4171,,,,30/05/2017
galvanize,151,Galvanize,42613,Provider of programming and coding training programs. The company provides a co-working space space for the technology world with an emphasis on industry-focused education.,2012,ABS Capital Partners (Paul Mariani),45,18.475001,NA,1,c99c0140-476b-f0e3-8196-244207e38403,,,,30/08/2016
gigster,256,Gigster,42978,"Provider of an on demand smart software development service designed to outsource full-stack application development to building next-gen tech projects for big companies. The company's on demand smart software development service rapidly curates and matches software developers with projects that companies need to build, enabling businesses to avail premium software designed and getting the quotes in minutes.",2013,Redpoint Ventures (Ryan Sarver),20,15.12,Previous Investors,0,2021f0a4-2c06-ffc8-7c1a-4fc21620e275,,,,30/08/2017
giphy,140,Giphy,42429,"Developer of an animated graphics interchange format (GIF) based platform. The company's platform enables users to design graphics interchange format based sticker, cartoons and comics.",2012,Lightspeed Venture Partners (William Kohler),55,23.900009,Business Model,0,048f759f-06e4-456b-6126-3d4a57141b5d,,,,28/02/2016
gitlab,167,Gitlab,42643,"Provider of an open-source code collaboration platform. The company provides a code collaboration software that allows users to create, review and deploy code.",2011,August Capital (Villi Iltchev),20,5.699978,NA,1,4946a04b-37e6-fac5-b023-f868623d85c5,,,,29/09/2016
gladly,30,Gladly,42551,"Provider of communication technology services. The company is engaged in improving the way customers get help and support in today’s mobile and social connected world. It provides contact center representatives with a communication channel platform that spans across voice, email, chat, Web, SMS & social networks to give them the tools to switch between communication streams from any device.",2014,"Greylock Partners (Jerry Chen), NEA",27,1.00E-06,Early / Small,0,c5de3478-6a48-e904-a804-821c96fcc6a8,,,,29/06/2016
glassbox,124,Glassbox,43404,"Developer of customer experience analytics platform designed to transform customer's digital experience information into priceless insight. The company's platform replays website sessions in order to capture customer experience analytics, enabling enterprises to optimize their web customer experience, lower operational costs and generate new revenues.",2010,Updata Partners(Carter Griffin),25,7.5,Early / Small,0,94482d25-d98a-b970-6f15-3b6801261ac7,,,,30/10/2018
glint,159,Glint,42613,"Provider of a real-time employee engagement platform. The company provides an organization development platform that uses real-time people data to provide information about organization's health, predict problems and offers direction to take action thus helping in employee engagement and retention.",2013,"Bessemer Venture Partners (Byron Deeter), Meritech Capital Partners (Craig Sherman)",27.2,15.499999,NA,1,cc4d0e0d-9678-86cb-b165-b50e304ee44e,,,,30/08/2016
globalwebindex,563,GlobalWebIndex,43312,"Provider of a market research and analytics platform. The company's analytics platform enables businesses to carry out market research on databases collected from social media sites and online buying platforms, thereby helping them to infer about customer behavior.",2009,Stripes Group(Ron Shah),40,0,NA,1,7d9fc341-129b-7afa-6f3e-5f9b2ba9d75f,,,,30/07/2018
goat,64,Goat,42794,"Operator of an online footwear marketplace designed to build the safest way to buy and sell sneakers through mobile device. The company's online footwear marketplace joins buyers and sellers to trade the most recent in collectible sneakers and also verifies whether the shoes are genuine, enabling its consumers to easily buy authenticated footwear.",2010,Accel Partners (Ryan Sweeney),25,5,Early / Small,0,f59872a0-e406-1842-e451-48e1e3d8e479,,,,27/02/2017
gocardless,403,GoCardless,43008,"Provider of an online-payment platform intended to turn payments into a competitive advantage. The company's online-payment platform offers direct debit services, enabling organizations to offer recurring-payment services to their customers.",2011,Accel (Martin Gibson),22.5,29.81,NA,1,095947ad-df58-6daa-fc67-da2a04b1d5f6,,,,29/09/2017
gospotcheck,258,GoSpotCheck,43069,Provider of a field execution management platform. The company develops web and mobile based applications that enable businesses to leverage their own employees to gather real-time retail intelligence and a web dashboard that allows managers to spot trends and view urgent issues from the field.,2011,Insight Venture Partners,21.5,23.5,Previous Investors,0,be6be32e-ceca-7f4e-0863-fac1a33ef3d7,,,,29/11/2017
groundspeedanalytics,562,Groundspeed Analytics,43312,"Developer of an insurance data automation and analytics software designed to improve submission efficiency by converting the most complex loss run PDFs to custom formats. The company's insurance data automation and analytics software uses machine learning technology that automatically requests, receives, processes and analyzes loss run data from carrier PDFs and other document types in order to inform users about important claims, trends, underwriting profit pools and carrier profitability, enabling insurance brokers and carriers to improve financial performance.",2015,Oak HC/FT(Andrew Robinson),30,2.4,NA,1,6ed1ebdb-dcc6-9512-87c7-4a9a8fde4f37,,,,30/07/2018
grover,235,Grover,43312,"Provider of a subscription based electronics rental platform designed to offer pay-as-you-go consumer electronics. The company's platform grants unlimited access to the latest tech products and offers a monthly product subscription service, enabling consumers to rent electronic products at an affordable price instead of buying them.",2015,Circularity Capital(David Mowat),43.2,17.54,Business Model,0,6a5c5f61-95dc-7292-6404-de6294940c3b,,,,30/07/2018
grovo,23,Grovo,42400,"Provider of an online training platform. The company provides content such as video lessons, takeaways, quizzes and glossary terms in the areas of social media, online shopping, entertainment, productivity and web essentials.",2010,Accel Partners (Sameer Gandhi),40,22.109093,NA,1,ae316223-2128-71ed-d9f6-9e13959fdb68,,,,30/01/2016
gtreasury,424,GTreasury,43039,"Provider of installed as well as SaaS treasury management services. The company's software illuminates a treasury's liquidity by centralizing all incoming and outgoing banking activities, along with tracking all financial instrument activities ensuring its practitioners real-time insight and access into their global liquidity.",1986,Mainsail Partners (Vinay Kashyap),42,0,NA,1,01b1feea-434b-c859-a47c-2ff294f02b80,,,,30/10/2017
hackerrank,478,HackerRank,43159,"Provider of an online technology platform intended for companies to evaluate technical talent based on skills. The company's online technology platform includes a technical hiring platform for businesses uses automated skills assessments, enabling companies to recruit technical talents from around the world.",2009,JMI Equity (Suken Vakil),30,28.320001,NA,1,5ef5e888-e91b-51b1-fedb-1cb02a930a28,,,,27/02/2018
handshake,56,Handshake,42704,Provider of career management services. The company operates a job portal enabling career centers to empower students to connect with employers.,2012,Spark Capital,20,14.8,Early / Small,0,649b86d1-29ac-4978-baec-7c09ada36d15,,,,29/11/2016
hashicorp,40,HashiCorp,42643,"Provider of a tool to manage distributed applications and infrastructure. The company provides a datacenter management platform that enables developers, operators and security teams to accelerate application delivery.",2012,GGV Capital (Glenn Solomon),24,10.534994,Early / Small,0,ba9019ed-e265-4870-404d-9f0605408351,,,,29/09/2016
headspin,605,HeadSpin,43404,"Provider of a global testing platform designed to accelerate the world's transition to mobile. The company's platform uses machine learning algorithms to proactively uncover hidden insights through learning, enabling software developers to remotely test and monitor mobile applications around the world.",2015,ICONIQ Capital(William Griffith),20,0,NA,1,e8fdc229-3c79-f2ef-467f-f3dc6316c882,,,,30/10/2018
healthengine,197,HealthEngine,42855,"Provider of an online health dictionary and booking system listing designed to connect patients and practitioners with healthcare professionals. The company's online health dictionary and booking system helps patients to find and book health appointments online in order to access the right care, enabling medical practitioners to set their own prices in a competitive medical provider marketplace and manage their appointments.",2006,Sequoia Capital India (Pieter Kemps),20.46,16.37,Business Model,0,1d7773ba-72c9-82f2-e202-8cb57de02bcb,,,,29/04/2017
healthx,247,Healthx,42766,Provider of a platform connecting healthcare payers with members and providers through digital portals. The company provides cloud based technology that enables communication between various parties in the healthcare industry. It also provides a self-service tools that streamlines customer service and operational efficiency.,1998,JMI Equity (Matthew Emery),,22,NA,1,e30f1791-83d9-f564-4786-b7468a808d08,,,,30/01/2017
heap,254,Heap,42886,"Developer of mobile and web analytics tools designed to automatically capture all user data. The company's Web and iOS analytics tools automatically captures every user interaction including clicks, taps, gestures, form submissions, page views and more, with no extra code, enabling companies to identify and understand their users in-depth.",2013,"Menlo Ventures, New Enterprise Associates (Chetan Puttagunta)",27,13,Previous Investors,0,46dff0d2-b58f-0026-0250-e61569abde41,,,,30/05/2017
helpshift,27,Helpshift,42551,"Provider of customer engagement services. The company provides a customer-centric platform that allows large and small companies to support and engage their customers in-app. Its platform includes native functionality such as in-app FAQ’s, in-app chat, a CRM ticketing system, in-app campaigns, and in-app surveys.",2011,"Microsoft Ventures (Nagraj Kashyap), Salesforce Ventures",23,13.200005,Early / Small,0,0e5377c3-17f7-5dbf-f830-da6cd8992751,,,,29/06/2016
herok12,204,Hero K12,42916,"Developer an provider of an education software designed to create a positive school climate and culture. The company's software is a school-wide system used to capture and collect data that enables educators to replace traditional discipline policies with initiatives that emphasize and recognize positive behaviors aiding in decreasing absences and suspensions, improving students' test scores and reducing teachers' time spent on discipline.",2014,BV Investment Partners (Justin Harrison),150,0,Business Model,0,3df6fc9b-e017-09fc-613a-654cdbacf6bb,,,,29/06/2017
highq,31,HighQ,42400,"Provider of content management services. The company operates an enterprise cloud platform which allows customers to share information, manage projects and engage with clients.",2001,,50,0,NA,1,3e808015-cab3-469d-a675-93e0ce74ec40,,,,30/01/2016
highradius,213,HighRadius,43008,"Developer of a cloud-based integrated receivables software designed to automate manually-intensive tasks, streamline communication, and allow standardization of processes to drive best practices into receivables organizations. ",2006,Susquehanna Growth Equity (Amir Goldman),50,0,Business Model,0,f1fdb4a4-bee7-1db0-e903-22f76d1971fd,,,,29/09/2017
hollar,209,Hollar,42704,"Provider of an online shopping platform. The company provides a shopping website offering apparel, accessories, personal care products and electronics.",2015,Kleiner Perkins Caufield & Byers (Eric Feng),30,17.58,NA,1,c7d7119b-8b80-0786-01d1-533ab02f6c3a,,,,29/11/2016
homebase,540,Homebase,43281,"Developer of an employee scheduling software intended to help people to track timesheet hours and schedules. The company's software provides cloud-based time clock and time sheets that helps to track hours from anywhere and save time on preparing payroll, enabling clients to quickly and easily message their co-workers and managers to manage everything within time.",2014,Bain Capital Ventures(Ajay Agarwal),20,8.9,NA,1,0042f9e8-4859-686d-fa8e-054717fda92e,,,,29/06/2018
homelight,379,HomeLight,42978,"Provider of an online marketplace designed to connect home sellers with real estate agents. The company's online marketplace uses actual sales data and client reviews to match buyers and sellers with agents proven to sell homes faster and for more money, accurately reflecting past performance and success, providing personalized agent recommendations for prospective home-buyers and sellers.",2012,Menlo Ventures (Tyler Sosin),40,15.85,NA,1,a008b54a-f85c-83e0-0e81-1e3cefddb0e8,,,,30/08/2017
housecanary,251,HouseCanary,42766,"Developer and operator of a real estate analytics platform. The company's platform aggregates millions of data elements, including more than four decades of property data and a rapidly expanding arsenal of proprietary data calculations and analytics, to accurately define and forecast values and market influences.",2014,"Hillspire, Raven Ventures, ECA Ventures",33,0,NA,1,2a40c889-08f7-6c8d-a870-0a482e9a8f83,,,,30/01/2017
hubba,239,Hubba,42735,"Provider of a B2B product sharing and discovery platform. The company's platform allows brands to share their content with their retail and ecommerce partners, allowing product information to be accurate across all platforms.",2011,Goldman Sachs Investment Partners (Ian Friedman),45,14.1,NA,1,285844c5-7614-f468-635b-c594de924102,,,,30/12/2016
hustle,108,Hustle,43251,"Provider of a mobile-based audience engagement application designed for organizations to communicate with people. The company's tool for advocacy organizations to conduct meaningful one-to-one texting conversations with their members, enabling them effectively reaching the people they serve.",2014,Insight Venture Partners (Hilary Gosher),30,11.949992,Early / Small,0,6d37eea7-baf3-ad38-7488-9ebcd1920c1a,,,,30/05/2018
iadvize,423,iAdvize,43039,"Provider of a real-time customer engagement platform designed to manage online customer relations. The company's real-time customer engagement platform predicts and engages contact opportunities with authentic experts and converts them into business values, enabling businesses to engage their customers and prospects whether they're on the website or on social media from one single messaging platform, thereby improving their conversion rate, customer satisfaction and increasing sales.",2010,Idinvest,38.14,17.15,NA,1,18e6c4c5-e7e0-40d6-d361-6440aefee28a,,,,30/10/2017
icertis,304,Icertis,42825,"Provider of a cloud-based easy-to-use enterprise contract management platform designed to control and increase revenue velocity. The company's cloud-based easy-to-use enterprise contract management platform is highly configurable and continually adapts to complex business needs, enabling organizations around the world to increase their contracting velocity, improve compliance, mitigate risk and enhance user productivity.",2009,B Capital Group (Raj Ganguly),25,21.5,NA,1,7ef763cb-a819-26df-238a-78cd0e3a349a,,,,30/03/2017
idexperts,154,ID Experts,42613,"Provider of data breach security services to businesses. The company develops a software and offers services to organizations for managing cyber risks and data breaches, and to consumers to protect and restore their identities from identity theft.",2003,"Peloton Equity (Theodore Lundberg), Trident Capital Cybersecurity (Sean Cunningham)",42,7.755776,NA,1,65e0211f-1a25-46bb-fcb3-404c3eb1d67d,,,,30/08/2016
idme,290,ID.me,42825,"Provider of a digital ID wallet designed to make online transactions more efficient, trusted, and transparent. The company's ID.me Wallet and the ID.me Identity Gateway platform, streamlines authentication, identity proofing and federation of external identity and attribute providers through a single API enabling military, students, first responders, teachers and government employees easily prove their identity online via a single login and avail discounts on various networks.",2010,FTV Capital (Liron Gitig),19,19.7,NA,1,8e90d05f-a415-dad9-1b01-621527979843,,,,30/03/2017
iesodigitalhealth,209,Ieso Digital Health,43008,"Developer of digital mental health delivery platform designed to transform mental health delivery. The company's evidence-based cognitive behavioral therapy (CBT) platform uses a proprietary technology, augmented with natural language processing and artificial intelligence, to offer real-time monitoring of therapist protocol adherence and risk detection, while providing guidance to the therapist in relation to clinical decision support to systemize practice and reduce variation in treatment, enabling therapists and health providers to deliver a meaningful clinical outcome at lowest cost.",2000,"Draper Esprit (Vishal Gulati), Touchstone Innovations (Inga Deakin)",23.34,8.51,Business Model,0,4105f264-9e6c-0b40-4d03-abfa0a29865a,,,,29/09/2017
igloo,453,IGLOO,43131,"Developer of SaaS digital workplace platform designed to help companies design and build inspiring digital destinations. The company's platform provides toolkits that work well with their existing workflows and helps workgroups to collaborate and manage their projects and workflows as well as personnel and other resources, enabling organizations to move beyond a traditional intranet to a digital destination that brings people and resources together to solve critical business challenges and cultivate a strong corporate culture.",2003,Frontier Capital (Andrew Lindner),47,9,NA,1,3501e531-6dda-1b0e-2723-dba15ff0a565,,,,30/01/2018
illusivenetworks,244,Illusive Networks,42521,"Provider of cyber security services. The company offers Deception Everywhere technology against Advanced Attacks and Persistent Threats (APT) by creating an alternate reality, transparently woven into the existing network. It also identifies attackers, triggers high-fidelity alerts and provides an endless source of false information thereby disrupting attacks.",2015,New Enterprise Associates (Krishna Kolluri),25,5,Previous Investors,0,5c2da6f0-cdaa-ec98-9aa3-c8ede2087043,,,,30/05/2016
inauth,242,InAuth,42429,Provider of mobile fraud prevention and mobile application security services. The company provides technology services for businesses to protect their users and prevent fraud by embedding them into their applications to secure both data and financial transactions from malicious actors.,2010,Bain Capital Ventures (J. Benjamin Nye),29.92,0.832124,Previous Investors,0,46c990f6-e14d-3cfe-0bba-a95a6692cfad,,,,28/02/2016
incopro,109,Incopro,43251,"Provider of brand protection and IP enforcement services designed for businesses facing IP infringement challenges. The company offers a brand and IP protection system that enables rights owners to identify threats, take targeted action and build ongoing strategy to protect their intellectual property online.",2012,Highland Capital Partners Europe(Sam Brooks),21,4.61,Early / Small,0,aa7649cf-c8a2-43cb-a2cf-7367c442f989,,,,30/05/2018
inmotionnow,551,inMotionNow,43281,"Developer of a Saas-based workflow services platform designed to manage ones workflow from concept to completion. The company's platform simplifies every phase of the creative production process and delivering measurable value to enterprise clients and allows project stakeholders to manage, track, and collaboratively review their print, video, and interactive projects in a centralized online environment, enabling companies to better manage production workflows and get creative content to market faster.",1999,Level Equity(Benjamin Levin),,4.9,NA,1,5d6f68df-f9e6-e550-47b0-fc28db3ad081,,,,29/06/2018
innovaccer,226,Innovaccer,43251,"Developer of a machine learning and big data analysis platform designed to use data for product development. The company's machine learning and big data analysis platform offers technologies that provides access to structured data for analysis and prediction for the growth and development of a company and its products, enabling enterprises to customize products and services according to customer preferences.",2012,"Westbridge, Lightspeed Venture Partners",25,15.601447,Business Model,0,e0e2ed2a-e4b5-d535-ebbe-0af4c52fca3c,,,,30/05/2018
